backend,seq_len,batch_size,num_heads,head_dim,dtype,causal,success,latency_ms,p50_ms,p95_ms,peak_memory_mib,max_abs_diff_vs_math,error
math,128,1,8,64,fp16,True,True,1.1282016038894653,1.176576018333435,1.7017855644226076,10.81396484375,0.0,
flash,128,1,8,64,fp16,True,True,0.07290880037471652,0.07833600044250488,0.12037120312452317,9.1298828125,0.0009765625,
math,256,1,8,64,fp16,True,True,0.576409600675106,0.5237759947776794,0.9164287924766542,16.00244140625,0.0,
flash,256,1,8,64,fp16,True,True,0.06850560028105974,0.06707200035452843,0.11678720228374004,10.1337890625,0.0009765625,
math,512,1,8,64,fp16,True,True,0.8850943922996521,0.8289279937744141,1.0845696151256563,33.37939453125,0.0,
flash,512,1,8,64,fp16,True,True,0.07609920017421246,0.060416001826524734,0.12820480540394782,12.1416015625,0.0009765625,
math,1024,1,8,64,fp16,True,True,2.4284160256385805,2.3987200260162354,2.966220700740814,96.63330078125,0.0,
flash,1024,1,8,64,fp16,True,True,0.13701119981706142,0.12492799758911133,0.18944000378251077,16.1572265625,0.0009765625,
